filename,monument,year_date,photographer,archive_source,source_url,license,viewpoint,notes
humayun_h01_1860.jpg,Humayun's Tomb,1860,John Edward Saché,Wikimedia Commons / British Library,"https://commons.wikimedia.org/wiki/File:Humayun%27s_Tomb,_Delhi._1860.jpg",Public Domain,Front/main facade,Historical archival photograph
humayun_m01_2012.jpg,Humayun's Tomb,May 2012,Muhammad Mahdi Karim,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Humayun%27s_Tomb,_Mausoleum.jpg",GFDL 1.2,Western façade as viewed from the main entrance,Modern reference image
humayun_h02_2015.jpg,Humayun's Tomb,1858,Felice Beato,Wellcome collection,https://wellcomecollection.org/works/uqvt7ys7/images?id=aegsqd56,Public Domain,Side garden,Historical archival photograph
humayun_m02_2015.jpg,Humayun's Tomb,2015,Avneet Mann,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Humayun%27s_Tomb_-_side_view.jpg,CC BY-SA 4.0,Side garden,Modern reference image
humayun_m03_2015.jpg,Humayun's Tomb,2015,ManishKS12,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Humayun%27s_Tomb_-_Front_View.jpg,CC BY-SA 4.0,Front View,Modern reference image
humayun_m04_2015.jpg,Humayun's Tomb,2015,Delrish Patel,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AA_closeup_of_Humayun%27s_Tomb.jpg,CC BY-SA 4.0,A closeup of Humayun's Tomb,Modern reference image
,,,,,,,,
,,,,,,,,
qutb_qh01_1858.jpg,Qutb Minar,1858,unknown,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:-The_Qutub_Minar,_Delhi-_MET_DP146158.jpg?utm_source=chatgpt.com",CC0 1.0 Universal,Full-height vertical view of Qutb Minar,Historical archival photograph
qutb_qm01_2008.jpg,Qutb Minar,2008,Ondřej Žváček,Wikipedia,https://sco.wikipedia.org/wiki/File:Qutb_Minar_tower.jpg,"GFDL 1.2 or later, CC BY-SA 3.0, or CC BY 2.5",Vertical/full view of Qutb Minar,Modern reference image
qutb_qh02_1860.jpg,Qutb Minar,1860,Samuel Bourne,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:The_Kutub_Qutb_Minar_and_great_arch,_Delhi_a_photo_by_Samuel_Bourne,_1860%27s_-_a_closer_look_at_the_decorative_elements.jpg?utm_source=chatgpt.com",Public Domain,close-up,Historical archival photograph
qutb_qm02_2015.jpg,Qutb Minar,2015,Sarindam7,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AQutub_Minar%2C_Qutb_complex%2C_Delhi_-_August_2015_%284%29.JPG?,Public Domain,close-up,Modern reference image
qutb_qm03_2013.jpg,Qutb Minar,2013,sksyednizam,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Close_up_of_Qutub_Minar.jpg?,CC BY-SA 3.0,Close up of Qutub Minar,Modern reference image
qutb_qm04_2017.jpg,Qutb Minar,2017,Pragyanand raushan,Wikimedia Commons,https://commons.wikimedia.org/wiki/File%3AQutub_minar_%28full_view%29.jpg,CC BY-SA 4.0,South side,Modern reference image
,,,,,,,,
,,,,,,,,
sanchi_sh01_1863.jpg,Sanchi Stupa,1863,James John Waterhouse,rijksmuseum,https://www.rijksmuseum.nl/en/collection/object/Eastern-gateway-torana-of-the-Great-Stupa-at-Sanchi-Madhya-Pradesh-India--90abcf51df2ab2becbc000afaabd8fc2?utm_source=chatgpt.com&tab=data,Public Domain,Front view of eastern gateway,Historical archival photograph
sanchi_sm01_2015.jpg,Sanchi Stupa,2015,unknown,tripinvites,https://www.tripinvites.com/places/sanchi/the-eastern-gateway/photos-of-the-eastern-gateway/,Public Domain,Front view of eastern gateway,Modern reference image
sanchi_sh02_1880.jpg,Sanchi Stupa,1880,unknown,The british museum,https://www.britishmuseum.org/collection/object/A_1994-0520-0-1?selectedImageId=850150001,CC BY-NC-SA 4.0,side view,Historical archival photograph
sanchi_sm02_2017.jpg,Sanchi Stupa,2017,Anandajoti Bhikkhu,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:002_Side_View_(33709020106).jpg,Public Domain,side view,Modern reference image
sanchi_sm03_2015.jpg,Sanchi Stupa,2015,Shourya Banerjee,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Stupa_of_Sanchi.jpg,Public Domain,general view,Modern reference image
sanchi_sm04_2013.jpg,Sanchi Stupa,2013,Bernard Gagnon,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Stupa_3,_Sanchi_01.jpg",Public Domain,general view,Modern reference image
